antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'STREET', '22', 'SOLICIT ON PUBLIC WAY'})","frozenset({'PM', 'PROSTITUTION'})",0.0005798434282647286,0.005628606314798476,1.0,0.0005798434282647286,0.5515086147293896,0.8136360231495207,3
"frozenset({'AM', 'OTHER OFFENSE', ' OHARE ST'})","frozenset({'AIRPORT/AIRCRAFT', 'OTHER WEAPONS VIOLATION'})",0.00020889929684060827,0.0003594250941914788,0.8599105812220567,0.0001796347157630864,0.6798470186318165,0.2648939389723014,3
"frozenset({'AM', 'AIRPORT/AIRCRAFT', 'OTHER WEAPONS VIOLATION'})","frozenset({'OTHER OFFENSE', ' OHARE ST'})",0.0001906867649998101,0.00040160967648939595,0.9420408163265306,0.0001796347157630864,0.6946638190159785,0.35615643073309716,3
"frozenset({'AM', ' OHARE ST', 'OTHER WEAPONS VIOLATION'})","frozenset({'OTHER OFFENSE', 'AIRPORT/AIRCRAFT'})",0.00018088001708553415,0.0004190438950036643,0.9931153184165232,0.0001796347157630864,0.7108964407832987,0.39704030369497084,3
"frozenset({'OTHER OFFENSE', ' OHARE ST', 'AIRPORT/AIRCRAFT'})",frozenset({'OTHER WEAPONS VIOLATION'}),0.00037826027669350085,0.0011682483031212854,0.8983539094650206,0.0003398115983629269,0.5946133304820107,0.5109663365274392,3
"frozenset({'OTHER OFFENSE', ' OHARE ST', 'OTHER WEAPONS VIOLATION'})",frozenset({'AIRPORT/AIRCRAFT'}),0.0003412125623506806,0.002036067662202054,0.9958941605839416,0.0003398115983629269,0.5813950925243867,0.7131471201290593,3
"frozenset({'PM', 'OTHER OFFENSE', 'AIRPORT/AIRCRAFT'})","frozenset({' OHARE ST', 'OTHER WEAPONS VIOLATION'})",0.00020282845289367556,0.0003412125623506806,0.7897160399079048,0.00016017688259984048,0.629575173238624,0.254395738007773,3
"frozenset({'PM', 'OTHER OFFENSE', ' OHARE ST'})","frozenset({'AIRPORT/AIRCRAFT', 'OTHER WEAPONS VIOLATION'})",0.00019271037964878766,0.0003594250941914788,0.8311793214862683,0.00016017688259984048,0.6384133939609773,0.30198318943793334,3
"frozenset({'PM', 'AIRPORT/AIRCRAFT', 'OTHER WEAPONS VIOLATION'})","frozenset({'OTHER OFFENSE', ' OHARE ST'})",0.0001687383291916687,0.00040160967648939595,0.9492619926199262,0.00016017688259984048,0.6740496009611259,0.40834546154742346,3
"frozenset({'PM', ' OHARE ST', 'OTHER WEAPONS VIOLATION'})","frozenset({'OTHER OFFENSE', 'AIRPORT/AIRCRAFT'})",0.00016033254526514644,0.0004190438950036643,0.9990291262135923,0.00016017688259984048,0.6906364056030815,0.4465859089929396,3
