antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'21:00', 'STREET', 'Sa'})",frozenset({'PM'}),0.0006946236132335721,0.6291384682557009,1.0,0.0006946236132335721,0.5005520435073374,0.9984870690737271,3
"frozenset({'21:00', 'CRIMINAL DAMAGE', 'Sa'})",frozenset({'PM'}),0.0003294500565622085,0.6291384682557009,1.0,0.0003294500565622085,0.5002618263491944,0.9992822840421199,3
"frozenset({'21:00', 'THEFT', 'Sa'})",frozenset({'PM'}),0.0006668386687042293,0.6291384682557009,1.0,0.0006668386687042293,0.5005299617670439,0.9985475625317153,3
"frozenset({'21:00', '$500 AND UNDER', 'Sa'})",frozenset({'THEFT'}),0.00032151150098239627,0.24125667334828427,1.0,0.00032151150098239627,0.5006663266481302,0.9976585724237448,3
"frozenset({'21:00', '$500 AND UNDER', 'Sa'})",frozenset({'PM'}),0.00032151150098239627,0.6291384682557009,1.0,0.00032151150098239627,0.5002555172805391,0.999299575125492,3
"frozenset({'21:00', 'THEFT', '$500 AND UNDER', 'Sa'})",frozenset({'PM'}),0.00032151150098239627,0.6291384682557009,1.0,0.00032151150098239627,0.5002555172805391,0.999299575125492,4
"frozenset({'21:00', '$500 AND UNDER', 'PM', 'Sa'})",frozenset({'THEFT'}),0.00032151150098239627,0.24125667334828427,1.0,0.00032151150098239627,0.5006663266481302,0.9976585724237448,4
"frozenset({'21:00', '$500 AND UNDER', 'Sa'})","frozenset({'THEFT', 'PM'})",0.00032151150098239627,0.16199416516164883,1.0,0.00032151150098239627,0.5009923551896501,0.996358147866765,3
"frozenset({'21:00', 'RESIDENCE', 'Sa'})",frozenset({'PM'}),0.00030166511203286563,0.6291384682557009,1.0,0.00030166511203286563,0.5002397446089009,0.999342803541802,3
"frozenset({'21:00', 'TO VEHICLE'})",frozenset({'PM'}),0.0013932165042570505,0.6291384682557009,1.0,0.0013932165042570505,0.5011072415490025,0.996966741422187,2
"frozenset({'21:00', 'CRIMINAL DAMAGE', 'TO VEHICLE'})",frozenset({'PM'}),0.0013455851707781768,0.6291384682557009,1.0,0.0013455851707781768,0.5010693871370708,0.9970703603807175,3
"frozenset({'21:00', 'STREET', 'TO VEHICLE'})",frozenset({'PM'}),0.0010439200587453114,0.6291384682557009,1.0,0.0010439200587453114,0.50082964252817,0.9977267488252689,3
"frozenset({'21:00', 'CRIMINAL DAMAGE', 'STREET', 'TO VEHICLE'})",frozenset({'PM'}),0.0010161351142159683,0.6291384682557009,1.0,0.0010161351142159683,0.5008075607878765,0.9977872173895361,4
"frozenset({'21:00', 'Fr'})",frozenset({'PM'}),0.002258519062456586,0.6291384682557009,1.0,0.002258519062456586,0.5017949300324286,0.9950853420184259,2
"frozenset({'21:00', 'STREET', 'Fr'})",frozenset({'PM'}),0.0007700398912417885,0.6291384682557009,1.0,0.0007700398912417885,0.5006119796595626,0.998322882529194,3
"frozenset({'21:00', 'THEFT', 'Fr'})",frozenset({'PM'}),0.0007700398912417885,0.6291384682557009,1.0,0.0007700398912417885,0.5006119796595626,0.998322882529194,3
"frozenset({'21:00', '$500 AND UNDER', 'Fr'})",frozenset({'THEFT'}),0.0003810506678309882,0.24125667334828427,1.0,0.0003810506678309882,0.500789720471858,0.9972254937217434,3
"frozenset({'21:00', '$500 AND UNDER', 'Fr'})",frozenset({'PM'}),0.0003810506678309882,0.6291384682557009,1.0,0.0003810506678309882,0.5003028352954537,0.9991698959439254,3
"frozenset({'21:00', 'THEFT', '$500 AND UNDER', 'Fr'})",frozenset({'PM'}),0.0003810506678309882,0.6291384682557009,1.0,0.0003810506678309882,0.5003028352954537,0.9991698959439254,4
"frozenset({'21:00', '$500 AND UNDER', 'PM', 'Fr'})",frozenset({'THEFT'}),0.0003810506678309882,0.24125667334828427,1.0,0.0003810506678309882,0.500789720471858,0.9972254937217434,4
"frozenset({'21:00', '$500 AND UNDER', 'Fr'})","frozenset({'THEFT', 'PM'})",0.0003810506678309882,0.16199416516164883,1.0,0.0003810506678309882,0.5011761246692149,0.9956850575996945,3
"frozenset({'MOTOR VEHICLE THEFT', '21:00'})",frozenset({'PM'}),0.0013257387818286462,0.6291384682557009,1.0,0.0013257387818286462,0.5010536144654326,0.9971135366627619,2
"frozenset({'MOTOR VEHICLE THEFT', 'STREET', '21:00'})",frozenset({'PM'}),0.0010955206700140909,0.6291384682557009,1.0,0.0010955206700140909,0.5008706514744293,0.9976144553147799,3
"frozenset({'AUTOMOBILE', '21:00'})",frozenset({'MOTOR VEHICLE THEFT'}),0.0011788755036021197,0.03495346021791335,1.0,0.0011788755036021197,0.5168635021576198,0.9358140010353285,2
"frozenset({'AUTOMOBILE', '21:00'})",frozenset({'PM'}),0.0011788755036021197,0.6291384682557009,1.0,0.0011788755036021197,0.5009368966953098,0.9974330725261792,2
"frozenset({'AUTOMOBILE', 'PM', '21:00'})",frozenset({'MOTOR VEHICLE THEFT'}),0.0011788755036021197,0.03495346021791335,1.0,0.0011788755036021197,0.5168635021576198,0.9358140010353285,3
"frozenset({'AUTOMOBILE', '21:00', 'MOTOR VEHICLE THEFT'})",frozenset({'PM'}),0.0011788755036021197,0.6291384682557009,1.0,0.0011788755036021197,0.5009368966953098,0.9974330725261792,3
"frozenset({'AUTOMOBILE', '21:00'})","frozenset({'MOTOR VEHICLE THEFT', 'PM'})",0.0011788755036021197,0.022037430289558815,1.0,0.0011788755036021197,0.5267471181556196,0.8994506769931886,2
"frozenset({'AUTOMOBILE', 'STREET', '21:00'})",frozenset({'MOTOR VEHICLE THEFT'}),0.0009923194474765317,0.03495346021791335,1.0,0.0009923194474765317,0.5141948671360436,0.94570051638078,3
"frozenset({'AUTOMOBILE', 'STREET', '21:00'})",frozenset({'PM'}),0.0009923194474765317,0.6291384682557009,1.0,0.0009923194474765317,0.5007886335819106,0.9978390491630911,3
